Model,MAPE (%),RMSE,MAE,R2
"GM(1,1)",197.50286467080917,29962.130074382545,12597.752038947274,-0.1328054008828401
ARIMA,192.6230811973772,29226.190368104075,11942.21707313911,-0.07784015282482959
LSTM,192.58331465016374,29211.511169713725,12017.035854166666,-0.07675770890127565
