Model,RMSE,MAE,MAPE (%),Trend_Accuracy (%)
GRU,35048.20453681838,26365.817751032257,361.7637079261085,
LSTM,38631.21452610647,30775.68761215732,497.52763237883875,
Moving Average,43479.78648960879,40269.11602352916,879.4308706954727,53.045671898312406
"ARIMA(2,1,1)",43479.78648960879,40269.11602352916,879.4308706954729,53.045671898312406
"SARIMA(1,1,1)",43479.78648960879,40269.11602352916,879.4308706954729,53.045671898312406
Prophet,245383.5060874557,209987.94137224014,4652.998978736678,8.401035433548259
Holt-Winters,40205322.845250174,34825264.01456225,661126.186036865,3.8127573426684025
"GM(1,1)",2.081391288959167e+32,3.606724104494679e+31,4.3895741331815044e+29,4.329419703815393
